"Selected items1"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"	"2014-15"	"2015-16"
"Seniors and pensioners tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	765945806	725315164	741854337	726653369
"Australian super income stream tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297765	164105	821450	672390	548360	573585	542165	516110	511965	474785	443525	438275	417850	341030	377335	416805	452940	231205	"239975"	244690	242415	224744	220456	228884	242365	232871
"Australian super income stream tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2e+07	3.4e+07	5.5e+07	4.4e+07	3.5e+07	241577947	357522704	376373756	428243696	495190055	560992595	614400924	648266218	697368882	829872290	1015563999	1223455344	590953345	"613924394"	609295750	613035942	584875757	583699814	642700862	694288768	690053485
"Total supplement tax offsets (itemised below)2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1302800	1402300	"1465435"	1555015	1466320	1493664	739461	695203	651741	521908
"Total supplement tax offsets (itemised below)2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	755121810	834807691	"875328267"	957676941	936900201	993846982	461990720	380641511	307198865	222502511
"Total tax offsets on tax returns2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3148690	3097900	2108526	1270371	1166744	1043758	877525
"Total tax offsets on tax returns2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3042504627	3398569509	2501223482	3111800861	2879582166	3785021654	1695230849
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax offsets  - ATO calculated"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Life assurance bonus tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	2630	6715	11960	19275	41930	47475	41990	45110	44335	44820	45235	34255	19490	13855	11770	8445	5290	3685	3000	2660	2320	2280	2030	"1445"	930	910	651	614	516	482	366
"Life assurance bonus tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	1e+06	3e+06	1e+07	1.4e+07	4.6e+07	6.2e+07	5.9e+07	6.8e+07	7.1e+07	7.6e+07	73035066	49622410	25630178	18136882	16240008	13082768	8910812	3784103	3241392	3525690	3923972	5773933	4077740	"2465911"	1177361	1502344	1004091	1011648	1187099	1276636	981705
"Low income tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4017600	3995300	4102315	4045660	3850380	3559305	3686030	3353240	3256365	3181795	3700225	3624040	3506815	5727250	7063495	"8500960"	8215565	8569695	8676523	6748524	6785541	6797055	6627045
"Low income tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2e+08	5.17e+08	532351894	524570962	499933313	458956386	479360329	430269460	417802676	408110862	702296002	686825801	660249053	2405046039	3846718863	"7213506422"	7273704071	8260980851	8456509854	2141794768	2148741575	2142727107	2079555305
"Mature age worker tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1115660	1212415	1248155	1283225	"1341195"	1403845	1285430	1107660	937714	859109	80	NA
"Mature age worker tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	472443915	521694308	534259444	554068364	"575118659"	586642021	551570645	473215546	397059605	361564560	35125	NA
"Excess concessional contributions offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87144	52544	62413
"Excess concessional contributions offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82136540	52727871	58992632
"Excess non-concessional contributions offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2110	1654
"Excess non-concessional contributions offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3975668	2720368
"Averaging tax offset"	"no."	191280	228675	196985	166960	107355	143920	133945	141515	170090	194920	194260	173260	90600	85600	110490	125675	129655	143435	127330	116200	106630	102115	134155	145480	109530	104510	97055	84920	74090	85300	"77330"	75265	91140	72905	59681	66176	73577	71240
"Averaging tax offset"	"$"	157398000	209004000	162671000	121951000	55798000	108822000	102453000	112016000	1.76e+08	2.75e+08	2.91e+08	2.14e+08	6.6e+07	7e+07	1.13e+08	1.26e+08	1.54e+08	206643841	144313625	122563208	102285219	114413174	212947369	314317446	217804019	152191584	128775605	102509007	89638092	132911889	"114291959"	97918545	187432114	145282808	164184224	204654686	223169420	214471427
"Commonwealth of Australia benefits and payments tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	188465	358590	379140	455560	338500	429495	485045	521250	538295	635420	628895	340525	319475	321210	316215	287545	318770	331240	356510	337085	318395	310730	312000	"f"	336610	370700	358486	358266	425708	448814	429488
"Commonwealth of Australia benefits and payments tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	2.9e+07	6.8e+07	8.9e+07	1.46e+08	9.2e+07	1.48e+08	1.68e+08	1.89e+08	2.11e+08	3.17e+08	268741664	115199298	110881096	120133081	120257901	91467361	112670651	130510590	164845508	158459496	140755388	145092780	158018201	"145220367"	169805844	190798373	188195202	189860914	237876056	265167161	262563542
"Employment termination payment tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	299410	359765	477175	722610	755255	708340	552925	612790	666830	512840	500975	481500	453380	451085	421840	259665	278280	261005	250055	255140	250150	211870	149530	"160055"	150740	166485	191180	352883	353874	364349	342816
"Employment termination payment tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	1.97e+08	2.34e+08	2.64e+08	4.25e+08	5.58e+08	6.51e+08	8.48e+08	1.264e+09	1.274e+09	1.127e+09	1173874874	1398467453	1547427682	1548133597	1680230973	1467940139	1591880479	1669274971	1645729266	1827673960	1986967045	1451715666	873272721	"936886175"	822277911	907297563	1169141836	1263298813	1325203073	1485371461	1303071629
"Small business income tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	785593
"Small business income tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	243097645
"Lump sum payment arrears tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1358	1283	1440
"Lump sum payment arrears tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6637456	7101112	7815295
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net tax"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9537600	9815520	10203646	9867053	10094991	10246548	10150567
"Net tax"	"$"	11078483000	14166311000	16614958000	19749428000	20921530000	23823666000	26420394000	31031250000	35180080000	3.8945e+10	4.486e+10	4.5455e+10	4.4207e+10	4.3668e+10	4.5796e+10	4.7653e+10	5.094e+10	58016332830	62811041571	67862497836	72445465843	82049238889	82947910049	86494003024	93206206025	100961716811	109469766072	115231517725	121472183849	126555872057	"121920873975"	127354003048	139914503907	153422498041	162115139644	173638961959	184053701991	186282731121
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Main tax credits"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total tax withheld2"	"no."	5172940	5449150	5731260	5890925	5798180	5845320	6099520	6407005	6532545	6939170	7303760	7447615	7375940	7287470	7278175	7416350	7634555	8081050	8149885	8245910	8309040	8612750	8736520	8801570	8938735	9146385	9406090	9635260	9958920	10320750	"10134750"	10203200	10400350	10581375	10527510	10661110	10706272	10555480
"Total tax withheld2"	"$"	10156840000	12302871000	14609565000	18037070000	19634850000	21244241000	23985871000	27431088000	30077251000	3.3786e+10	3.9273e+10	4.0114e+10	4.1181e+10	4.1467e+10	4.3e+10	4.4835e+10	4.818e+10	54609660282	59189562303	63929997287	68488538664	75579570655	72341415966	76449721245	81695017443	87013635182	93878245342	98767865646	102482396766	109532060987	"110278329659"	114919912445	124290853518	136531011154	144035907270	150989694593	159210834549	161377217941
"Credit for PAYG income tax instalments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1450395	1432370	"1377790"	1304950	1271060	1345369	1419582	1454325	1294227	1324412
"Credit for PAYG income tax instalments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12838780137	13580876574	"13543722002"	13660630487	14237414643	16775839533	18090357138	18688839391	20145162593	20336658773
"Dividends - franking credit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	561390	716170	714175	757225	837670	926045	1095990	1195015	1114855	1329200	1989385	2431825	2664070	3291625	3253530	3179500	3158615	3124200	3102000	3138375	3158510	"3153145"	3156960	3127170	3066822	3042120	2970398	2931436	2883230
"Dividends - franking credit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.332e+09	3.8e+09	1.442e+09	1.581e+09	1.493e+09	1.724e+09	2.045e+09	2.839e+09	2546662168	2674863996	3075503927	3363646252	3897561039	4683948868	3537670899	4180653212	4911566061	5752031686	6552242985	8073905501	8509972026	"8662624383"	7939115606	8863897688	8793875898	9184798109	10070088114	9729564950	9590140824
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Private health insurance"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Private health insurance tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534720	453575	398870	360140	321830	295955	283770	274490	260735	"261060"	280970	265730	276545	NA	NA	NA	NA
"Private health insurance tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201442479	185303477	170376052	170766654	169680575	174839300	182465499	181464080	179461412	"183205720"	196842365	194463594	213152603	NA	NA	NA	NA
"Private health insurance - your Australian Government rebate received"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5878835	6538619	6686190	6610116
"Private health insurance - your Australian Government rebate received"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3770702123	4242555661	4401257706	4889097431
"Private health insurance rebate"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555563	689180	707587	708571
"Private health insurance rebate"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	202517718	225346003	239005821	236212442
"Excess private health reduction or refund (rebate reduced)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1443765	1739740	1545160	1611727
"Excess private health reduction or refund (rebate reduced)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	514938430	607583206	617420488	629354116
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax payable or refundable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax payable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949260	1956535	1918425	1788545	2150240	2039085	2028655	2096420	2187720	2198890	2158655	2079955	1980650	"1562120"	1563890	1779930	1928873	1916070	2055499	2178504	2207190
"Tax payable"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.038e+09	2.887e+09	3.003e+09	3700992304	3617391700	4642830872	5024454449	7028485948	7866220723	8185732970	8821935079	10359322246	11277035718	12247233169	15111787873	15036352683	"10955375451"	12198670827	14292476224	13937651791	14300772077	16808304765	18584464191	18172414727
"Tax refundable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7530005	7605110	7751410	7890935	7918320	8424450	8596640	8771530	8967305	9250975	9531600	9911095	10432600	"10724810"	10797900	10808645	10681934	10672568	10717942	10648486	10422572
"Tax refundable"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.483e+09	-7.181e+09	-7.711e+09	-8401444318	-8694237673	-9867316330	-10544020337	-11141224506	-10768248211	-11525329551	-12549305573	-13880254375	-15482894477	-17414172368	-19752905205	-22912985561	"-24962970077"	-24870726543	-25786348206	-26151880292	-26701078736	-26511138068	-27164402376	-26831726161
"Tax payable or refundable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11991050	12413250	"12286930"	12361790	12588575	12610807	12588638	12773441	12826990	12629762
"Tax payable or refundable"	"$"	NA	NA	NA	NA	2499972000	3539751000	3476988000	5101516000	3035452000	2.723e+09	3.061e+09	3.211e+09	-9.81e+08	-1.764e+09	-4.45e+08	-4.294e+09	-4.708e+09	-4700452014	-5076845973	-5224485458	-5519565888	-4112738558	-2902027488	-3339596581	-3727370494	-3520932129	-4205858759	-5166939199	-4641117332	-7876632878	"-14007594626"	-12672055716	-11493877430	-12214228500	-12400306659	-9702833302	-8579938185	-8659311434
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adjustments"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Under 18 income - all income taxed at normal rates"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24778	22181	20167
"Under 18 income - all income taxed at normal rates"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	287768824	272125610	261945061
"Under 18 income - income shown at Item A1 Label J will be taxed at normal rates"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83733	102987	86197
"Under 18 income - income shown at Item A1 Label J will be taxed at normal rates"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	627309615	752264354	739999243
"Under 18 income - income at Label J taxed at normal rates and turned 18 during year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	26	42
"Under 18 income - income at Label J taxed at normal rates and turned 18 during year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	419528	266245	418054
"Total under 18 income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85430	125730	172745	184585	193390	183865	200920	211085	223080	226860	233250	263655	"184090"	165425	220540	143761	104762	108563	125194	106406
"Total under 18 income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	595697484	673626442	928393968	1134972583	1149889698	1072007481	1170654719	1218101915	1504798758	1596351854	1675725501	1830461399	"1454894043"	1180293418	1224693032	1154741393	899603134	915497967	1024656209	1002362358
"Government super contributions - Income from investment, partnership and other sources"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75775	96200	72130	98262	67769	56766	40334
"Government super contributions - Income from investment, partnership and other sources"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	623039384	765916184	717483062	932539018	674574345	593402567	448469475
"Government super contributions - Other income from employment and business"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37660	40073	33529	48374	25528	21273	14696
"Government super contributions - Other income from employment and business"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	865927008	987908028	816668620	1028436870	543635879	457468693	358715407
"Government super contributions - Other deductions from business income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11855	12590	12119	15928	9760	8147	5250
"Government super contributions - Other deductions from business income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128601542	161261608	159088903	209167351	121900779	93115527	74307092
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Income tests"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total reportable fringe benefits amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	448395	469035	500065	545055	610490	674765	717580	785685	699955	"726835"	759085	772230	802457	840795	852907	856224	839442
"Total reportable fringe benefits amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5476706279	5929182921	5703191038	6549941124	7681367660	9256425965	9890788376	10575070112	11081223311	"11828372437"	12343727216	12914808488	13676598162	14909992697	15821869781	16213380713	16727709532
"Reportable employer superannuation contributions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1210295	1215415	1257445	1324771	1360648	1410362	1437729
"Reportable employer superannuation contributions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11393549608	12322524673	13068638961	9741729470	10884565365	13203680755	13218984803
"Tax-free government pensions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80840	122195	168313	207223	206401	228278	214495
"Tax-free government pensions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	867641235	1344520697	1965697181	2501441954	2741453276	3222450940	3025073371
"Target foreign income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11660	10010	9289	17143	11230	12092	11941
"Target foreign income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	406007330	357173280	373924690	704175340	536942024	582138634	451020366
"Net financial investment loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131155	130290	124603	135222	105804	99416	93512
"Net financial investment loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	909704586	901167690	807836461	874890200	656261870	627599044	538859907
"Net rental property loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	969770	1028205	1097168	1353198	1343820	1351333	1316716
"Net rental property loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9101103461	11285367886	12915488586	13032201609	11850289498	11849345373	11612633826
"Child support you paid"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93795	98875	105103	159713	135973	150901	135692
"Child support you paid"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	561736238	657212102	677584834	1209667043	1151302574	1260670367	1170195709
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Supplementary section"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Partnerships and trusts - primary production"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
